ATTACK_BIND_NAME	Bind
ATTACK_BIND_DESC	Stops the target from moving
ATTACK_FIRESPARK_NAME	Fire Spark
ATTACK_FIRESPARK_DESC	Visual spark for the Fire element
ATTACK_HEALTHPOOL_NAME	Health Pool
ATTACK_HEALTHPOOL_DESC	Regenerate Health quickly
ATTACK_INCINERATE_NAME	Incinerate
ATTACK_INCINERATE_DESC	Burns targets
ATTACK_MANABLAST_NAME	Mana Blast
ATTACK_MANABLAST_DESC	Creates a blast of mana
ATTACK_MANAPOOL_NAME	Mana Pool
ATTACK_MANAPOOL_DESC	Regenerate Mana quickly
ATTACK_MANASPARK_NAME	Mana Spark
ATTACK_MANASPARK_DESC	Visual spark for the Mana element
ATTACK_RESTOREHEALTH_NAME	Restore Health
ATTACK_RESTOREHEALTH_DESC	Heal a target
ATTACK_RESTOREMANA_NAME	Restore Mana
ATTACK_RESTOREMANA_DESC	Generate mana to a target
ATTACK_SHIELD_NAME	Shield
ATTACK_SHIELD_DESC	Mana shield that blocks projectiles
ATTACK_TIMESLICE_NAME	Time Slice
ATTACK_TIMESLICE_DESC	Slice target by modifying Time
