OBJECT_DROPPEDWEARABLE_NAME	Dropped Wearable
OBJECT_DROPPEDWEARABLE_DESC	Pickupable wearable item
OBJECT_TCONVEYOR_NAME	Conveyor
OBJECT_TCONVEYOR_DESC	Triggered Conveyor
OBJECT_TDOOR_NAME	Door
OBJECT_TDOOR_DESC	Triggered Door
OBJECT_TELEVATOR_NAME	Elevator
OBJECT_TELEVATOR_DESC	Triggered Elevator
OBJECT_BUTTON_NAME	Button
OBJECT_BUTTON_DESC	Usable Button
OBJECT_CONVEYOR_NAME	Conveyor
OBJECT_CONVEYOR_DESC	Usable Conveyor
OBJECT_DOOR_NAME	Door
OBJECT_DOOR_DESC	Usable Door
OBJECT_ELEVATOR_NAME	Elevator
OBJECT_ELEVATOR_DESC	Usable Elevator
OBJECT_HEALTHGIB_NAME	Health Gib
OBJECT_HEALTHGIB_DESC	Usable gib to recover health
OBJECT_MANAGIB_NAME	Mana Gib
OBJECT_MANAGIB_DESC	Usable gib to recover mana
OBJECT_LIGHT_NAME	Light
OBJECT_LIGHT_DESC	Basic Light
OBJECT_NPCSPAWNER_NAME	NPC Spawner
OBJECT_NPCSPAWNER_DESC	Spawns a NPC
OBJECT_PORTAL_NAME	Portal
OBJECT_PORTAL_DESC	Particle effect of a NPC spawn
