SPELL_BIND_NAME	Bind
SPELL_BIND_DESC	Trap targets with a modified mana ball
SPELL_FIREBALL_NAME	Fire Ball
SPELL_FIREBALL_DESC	Hot ball of fire
SPELL_INCINERATE_NAME	Incinerate
SPELL_INCINERATE_DESC	Superheat an area, incinerating targets inside it
SPELL_LIGHTNING_NAME	Lightning
SPELL_LIGHTNING_DESC	Stun targets with a powerful jolt of electricity
SPELL_MANABALL_NAME	Mana Ball
SPELL_MANABALL_DESC	Ball of mana
SPELL_MANABLAST_NAME	Mana Blast
SPELL_MANABLAST_DESC	Emit a large amount of mana around the caster, damaging targets nearby
SPELL_RESTOREENERGY_NAME	Restore Energy
SPELL_RESTOREENERGY_DESC	Generate energy by using mana
SPELL_RESTOREHEALTH_NAME	Restore Health
SPELL_RESTOREHEALTH_DESC	Generate health by using mana
SPELL_RESTOREMANA_NAME	Restore Mana
SPELL_RESTOREMANA_DESC	Absorb mana from the surrounding environment
SPELL_SHIELD_NAME	Shield
SPELL_SHIELD_DESC	Create a projectile shield by accelerating mana
SPELL_WARP_NAME	Warp
SPELL_WARP_DESC	Teleport to a destination by disassembling and reconstructing the caster
SPELL_PHYSICSMANIPULATOR_NAME	Physics Manipulator
SPELL_PHYSICSMANIPULATOR_DESC	Move objects by controling the mana around them
SPELL_CREATETORUS_NAME	Create Torus
SPELL_CREATETORUS_DESC	Spawn a modified Torus which is friendly to the caster
SPELL_SHOCKDESTRUCT_NAME	Shock Destruct
SPELL_SHOCKDESTRUCT_DESC	Overcharge electricity causing damage to both the caster and targets nearby
