SETTINGS_KEYBINDS_MOVEMENT_FORWARD	Move Forward
SETTINGS_KEYBINDS_MOVEMENT_BACKWARD	Move Backward
SETTINGS_KEYBINDS_MOVEMENT_LEFT	Move Left
SETTINGS_KEYBINDS_MOVEMENT_RIGHT	Move Right
SETTINGS_KEYBINDS_MOVEMENT_JUMP	Jump/Fly Up
SETTINGS_KEYBINDS_MOVEMENT_SPRINT	Sprint
SETTINGS_KEYBINDS_MOVEMENT_FALL	Fly Down
SETTINGS_KEYBINDS_GAMEPLAY_ATTACK	Attack
SETTINGS_KEYBINDS_GAMEPLAY_INTERACT	Interact
SETTINGS_KEYBINDS_GAMEPLAY_GRAB	Grab
SETTINGS_KEYBINDS_GAMEPLAY_LIGHT	Toggle Flashlight
SETTINGS_KEYBINDS_GAMEPLAY_SPELLBOOK	Open Spellbook
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR1	Hotbar Spell 1
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR2	Hotbar Spell 2
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR3	Hotbar Spell 3
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR4	Hotbar Spell 4
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR5	Hotbar Spell 5
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR6	Hotbar Spell 6
SETTINGS_KEYBINDS_GAMEPLAY_HOTBAR7	Hotbar Spell 7
SETTINGS_KEYBINDS_DEBUG_CONSOLE	Console
SETTINGS_KEYBINDS_DEBUG_NOCLIP	Noclip
