SETTINGS_TITLE	Settings
SETTINGS_DROPDOWN_LOW	Low
SETTINGS_DROPDOWN_MEDIUM	Medium
SETTINGS_DROPDOWN_HIGH	High
SETTINGS_DROPDOWN_VERYHIGH	Very High
SETTINGS_DROPDOWN_NONE	None
SETTINGS_DROPDOWN_MSAA2X	MSAA 2x
SETTINGS_DROPDOWN_MSAA4X	MSAA 4x
SETTINGS_DROPDOWN_MSAA8X	MSAA 8x
SETTINGS_ELEMENT_ENERGY	Energy
SETTINGS_ELEMENT_HEALTH	Health
SETTINGS_ELEMENT_MANA	Mana
SETTINGS_ELEMENT_FIRE	Fire
SETTINGS_ELEMENT_TIME	Time
SETTINGS_ELEMENT_LIGHTNING	Lightning
SETTINGS_SIZE_TINY	Tiny
SETTINGS_SIZE_SMALL	Small
SETTINGS_SIZE_NORMAL	Normal
SETTINGS_SIZE_BIG	Big
SETTINGS_SIZE_HUGE	Huge
SETTINGS_DEFAULT	Default
