AI_BINDINGTURRET_NAME	Binding Turret
AI_BINDINGTURRET_DESC	Stationary turret NPC that binds targets
AI_FASTBINDER_NAME	Fast Binder
AI_FASTBINDER_DESC	Very fast NPC with low health that binds targets
AI_FIREBREATHER_NAME	Fire Breather
AI_FIREBREATHER_DESC	Fiery NPC that shoots fire balls at targets
AI_INCINERATOR_NAME	Incinerator
AI_INCINERATOR_DESC	Slow but powerful fire based NPC that incinerates targets
AI_MULTICASTER_NAME	Multi Caster
AI_MULTICASTER_DESC	Masterful NPC that uses both fire and mana attacks
AI_NPC_NAME	NPC
AI_NPC_DESC	Default npc data
AI_PLAYER_NAME	Player
AI_PLAYER_DESC	Default player data
AI_WORKER_NAME	Worker
AI_WORKER_DESC	Harmless NPC busy at work
